dataset,regime,C,T,dropped_rows,ICC_level,resid_ICC,scale_disp,shared_R2,mean_abs_r,PR
weather,"weak-entity (21 met. variables, one site)",21,52696,0,0.7623985500122193,0.9108684621508789,2.0263583679273913,0.1939907392250331,0.295614928049433,1.6973837891883548
electricity,multi_channel (321 clients),321,26304,0,0.6874592772442738,0.9622110818243766,1.364005103589703,0.484946547364115,0.48932249088991525,1.0402188987641316
ETTh1,weak-entity (7 vars of ONE transformer),7,17420,0,0.40051208036592223,0.571613456748592,0.950906819028131,0.2991456566820432,0.2220844754501962,2.171386417506725
swiss-river-1990,per_entity (28 river stations),28,7920,0,0.22749881384417808,0.8738517552593411,0.41063646359515665,0.9320311017350363,0.9306335381576137,1.0883164350183763
traffic,multi_channel (862 sensors),862,17544,0,0.1365547002199201,0.2573810886711155,0.4410753029542482,0.5746183496970035,0.5540548886762094,3.1731505253292758
solar,multi_channel (137 simulated PV),137,52560,0,0.06179796217632925,0.4130300091165019,0.3248223381840034,0.9166178638730206,0.9159510989918548,1.2143591339921425
